sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
134,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
135,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
136,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
137,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
138,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
139,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
140,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
141,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
142,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
143,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
144,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
145,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
146,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
147,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
148,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
149,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
150,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
151,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
152,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
153,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.968,-0.568,1.7069,3.1069,1.96,196,156,1.56,0.7959,1.2564
154,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
155,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
156,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
157,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
158,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
159,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
160,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
161,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
162,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
163,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
164,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
165,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
166,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
167,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
168,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
169,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
170,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
171,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
172,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
173,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
174,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
175,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
176,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
177,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
178,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
179,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,-1.8786,-0.4786,-1.6783,-0.2783,1.96,196,156,1.56,0.7959,1.2564
