sequence,case_id,planner,time_s,speed_mps,speed_bin,metric_frame,uav_profile,uav_profile_label,recorded_clearance_at_t_m,sensor_hz,sensor_period_ms,sensor_pipeline_ms,raw_costmap_update_ms,costmap_update_ms,raw_planner_compute_ms,planner_compute_ms,control_publish_ms,costmap_scale,planner_scale,total_delay_ms,delay_distance_m,goal_lookahead_s,min_clearance_m,collision,safety_violation,status,planner_failed,failure_reason,occupied_costmap_cells,costmap_width,costmap_height,costmap_layers
2,6,mppi,7.3,1.0719,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.8807,10.0,100.0,20.0,0.549,3.823,14.813,34.626,15.0,1.5,2.0,173.449,0.1856,1.5,1.623,0,0,safe,0,,4410,44,44,45
2,7,mppi,7.6625,1.0885,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.7184,10.0,100.0,20.0,0.908,4.362,13.519,32.039,15.0,1.5,2.0,171.401,0.1878,1.5,1.6213,0,0,safe,0,,4650,44,44,45
3,0,rrt,3.95,0.9156,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.2881,10.0,100.0,20.0,0.395,3.593,0.307,5.613,15.0,1.5,2.0,144.206,0.1329,1.5,0.8561,0,0,safe,0,,4500,49,33,45
3,1,rrt,4.3,0.9461,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.9688,10.0,100.0,20.0,0.422,3.634,0.581,6.161,15.0,1.5,2.0,144.795,0.1376,1.5,0.61,0,0,safe,0,,4500,46,32,45
3,2,rrt,4.65,0.9602,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.6502,10.0,100.0,20.0,0.386,3.579,51.694,108.387,15.0,1.5,2.0,246.966,0.2372,1.5,0.4354,1,1,collision,1,RRT failed to find a path,4560,43,32,45
3,3,rrt,5.0125,0.9731,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.3332,10.0,100.0,20.0,0.399,3.599,0.847,6.694,15.0,1.5,2.0,145.292,0.1422,1.5,0.5188,0,0,safe,0,,4680,43,32,45
3,4,rrt,5.3625,0.988,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.044,10.0,100.0,20.0,0.274,3.411,0.362,5.723,15.0,1.5,2.0,144.134,0.1475,1.5,0.5192,0,0,safe,0,,4590,42,32,45
3,5,rrt,5.7125,0.9966,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.7699,10.0,100.0,20.0,0.274,3.411,0.356,5.712,15.0,1.5,2.0,144.122,0.1446,1.5,0.502,0,0,safe,0,,4620,42,32,45
3,6,rrt,6.075,0.9977,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.534,10.0,100.0,20.0,0.367,3.55,15.863,36.726,15.0,1.5,2.0,175.276,0.1744,1.5,0.4439,1,1,collision,1,RRT failed to find a path,4620,43,32,45
3,7,rrt,6.425,0.9895,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.4348,10.0,100.0,20.0,0.361,3.542,16.675,38.351,15.0,1.5,2.0,176.892,0.1781,1.5,0.4348,1,1,collision,1,RRT failed to find a path,4590,43,32,45
3,0,rrt_star,3.95,0.9156,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.2881,10.0,100.0,20.0,0.362,3.543,0.378,5.757,15.0,1.5,2.0,144.3,0.133,1.5,0.8563,0,0,safe,0,,4500,49,33,45
3,1,rrt_star,4.3,0.9461,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.9688,10.0,100.0,20.0,0.309,3.464,0.522,6.044,15.0,1.5,2.0,144.508,0.1373,1.5,0.61,0,0,safe,0,,4500,46,32,45
3,2,rrt_star,4.65,0.9602,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.6502,10.0,100.0,20.0,0.41,3.614,80.813,166.627,15.0,1.5,2.0,305.241,0.2917,1.5,0.4355,1,1,collision,1,RRT* failed to find a path,4650,43,32,45
3,3,rrt_star,5.0125,0.9731,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.3332,10.0,100.0,20.0,0.378,3.567,124.318,253.637,15.0,1.5,2.0,392.204,0.3848,1.5,0.5195,0,0,safe,0,,4530,43,32,45
3,4,rrt_star,5.3625,0.988,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.044,10.0,100.0,20.0,0.394,3.591,125.69,256.38,15.0,1.5,2.0,394.971,0.3965,1.5,0.5096,0,0,safe,0,,4680,44,32,45
3,5,rrt_star,5.7125,0.9966,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.7699,10.0,100.0,20.0,0.389,3.583,124.445,253.891,15.0,1.5,2.0,392.474,0.3936,1.5,0.501,0,0,safe,0,,4620,45,32,45
3,6,rrt_star,6.075,0.9977,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.534,10.0,100.0,20.0,0.445,3.667,12.171,29.342,15.0,1.5,2.0,168.009,0.1671,1.5,0.4448,1,1,collision,1,RRT* failed to find a path,4620,43,32,45
3,7,rrt_star,6.425,0.9895,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.4348,10.0,100.0,20.0,0.354,3.531,12.384,29.768,15.0,1.5,2.0,168.3,0.1694,1.5,0.4348,1,1,collision,1,RRT* failed to find a path,4680,43,32,45
3,0,mppi,3.95,0.9156,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,2.2881,10.0,100.0,20.0,0.309,3.463,11.307,27.614,15.0,1.5,2.0,166.078,0.1479,1.5,0.8384,0,0,safe,0,,4500,49,33,45
3,1,mppi,4.3,0.9461,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.9688,10.0,100.0,20.0,0.264,3.396,11.27,27.54,15.0,1.5,2.0,165.935,0.1576,1.5,0.5984,0,0,safe,0,,4500,46,32,45
3,2,mppi,4.65,0.9602,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.6502,10.0,100.0,20.0,0.245,3.367,11.416,27.831,15.0,1.5,2.0,166.198,0.1592,1.5,0.4447,0,1,violation,0,,4560,43,32,45
3,3,mppi,5.0125,0.9731,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.3332,10.0,100.0,20.0,0.221,3.331,11.857,28.714,15.0,1.5,2.0,167.045,0.1598,1.5,0.4963,0,1,violation,0,,4620,42,32,45
3,4,mppi,5.3625,0.988,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,1.044,10.0,100.0,20.0,0.218,3.328,11.574,28.148,15.0,1.5,2.0,166.475,0.1697,1.5,0.664,0,0,safe,0,,4620,42,32,45
3,5,mppi,5.7125,0.9966,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.7699,10.0,100.0,20.0,0.221,3.332,11.589,28.177,15.0,1.5,2.0,166.509,0.168,1.5,0.6382,0,0,safe,0,,4590,42,32,45
3,6,mppi,6.075,0.9977,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.534,10.0,100.0,20.0,0.241,3.361,11.807,28.615,15.0,1.5,2.0,166.976,0.166,1.5,0.463,0,1,violation,0,,4650,43,32,45
3,7,mppi,6.425,0.9895,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.4348,10.0,100.0,20.0,0.249,3.373,11.405,27.809,15.0,1.5,2.0,166.182,0.1673,1.5,0.4348,0,1,violation,0,,4650,43,32,45
4,0,rrt,8.525,0.6085,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.8489,10.0,100.0,20.0,0.301,3.451,0.294,5.587,15.0,1.5,2.0,144.039,0.0783,1.5,0.5051,0,0,safe,0,,4380,36,33,45
4,1,rrt,8.8875,0.5688,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.7241,10.0,100.0,20.0,0.313,3.47,0.416,5.832,15.0,1.5,2.0,144.301,0.0814,1.5,0.5052,0,0,safe,0,,4650,35,33,45
4,2,rrt,9.25,0.5376,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.6695,10.0,100.0,20.0,0.273,3.409,0.374,5.748,15.0,1.5,2.0,144.157,0.0788,1.5,0.5721,0,0,safe,0,,4680,38,33,45
4,3,rrt,9.6125,0.6163,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.6257,10.0,100.0,20.0,0.265,3.397,0.413,5.825,15.0,1.5,2.0,144.222,0.0883,1.5,0.5771,0,0,safe,0,,4650,41,32,45
4,4,rrt,9.9625,0.7273,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.5663,10.0,100.0,20.0,0.276,3.413,0.427,5.853,15.0,1.5,2.0,144.266,0.1202,1.5,0.538,0,0,safe,0,,4530,44,32,45
4,5,rrt,10.325,0.8993,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.5201,10.0,100.0,20.0,0.341,3.511,0.293,5.586,15.0,1.5,2.0,144.097,0.1349,1.5,0.5201,0,0,safe,0,,4620,46,33,45
4,6,rrt,10.6875,1.0654,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.587,10.0,100.0,20.0,0.366,3.548,0.284,5.569,15.0,1.5,2.0,144.117,0.162,1.5,0.587,0,0,safe,0,,4650,51,33,45
4,7,rrt,11.0375,1.2507,1.0-1.5,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.7916,10.0,100.0,20.0,0.359,3.538,0.291,5.583,15.0,1.5,2.0,144.121,0.1841,1.5,0.7916,0,0,safe,0,,4410,53,32,45
4,0,rrt_star,8.525,0.6085,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.8489,10.0,100.0,20.0,0.25,3.375,0.282,5.565,15.0,1.5,2.0,143.94,0.0783,1.5,0.5052,0,0,safe,0,,4380,36,33,45
4,1,rrt_star,8.8875,0.5688,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.7241,10.0,100.0,20.0,0.283,3.425,120.435,245.869,15.0,1.5,2.0,384.294,0.2125,1.5,0.5067,0,0,safe,0,,4590,38,33,45
4,2,rrt_star,9.25,0.5376,0.5-1.0,3d_optitrack_xzy_cylinder,jetson_orin_nano,Emulated Jetson Orin Nano-class companion computer,0.6695,10.0,100.0,20.0,0.335,3.503,115.735,236.47,15.0,1.5,2.0,374.973,0.2075,1.5,0.5004,0,0,safe,0,,4620,41,32,45
