sequence,obstacles,min_center_distance_m,min_boundary_clearance_m,closest_time_s,closest_index,closest_obstacle_index,collision,safety_violation,safety_distance_m,path_length_m,duration_s,mean_speed_mps,avoidance_label,computation_time_ms,method,planner_compute_time_ms,waypoint_count,smoothness_heading_change,safe_count,warning_count,danger_count,collision_count,future_risk_count,danger_or_collision_rate,future_risk_rate
202,2,0.7122,0.5122,5.4648,388,0,0,0,0.5,7.2548,10.3099,0.7037,left,0.09,rrt,4.1619,3,0.000175,499,234,0,0,0,0.0,0.0
202,2,0.7111,0.5111,5.4225,385,0,0,0,0.5,7.1999,10.3099,0.6984,left,0.0909,rrt_star,1700.6793,9,0.000176,564,169,0,0,0,0.0,0.0
202,2,0.9199,0.7199,5.5493,394,0,0,0,0.5,7.2901,10.3099,0.7071,left,0.0893,mppi,52.3214,60,0.000212,549,184,0,0,0,0.0,0.0
203,2,0.3678,0.1678,6.1972,440,0,0,1,0.5,7.6568,8.8592,0.8643,right,0.1271,human,0.0,630,1.035979,517,41,72,0,143,0.1143,0.227
203,2,0.4366,0.2366,4.5493,323,0,0,1,0.5,6.1123,8.8592,0.6899,right,0.0914,straight_line,2.1867,2,0.0,445,72,113,0,183,0.1794,0.2905
203,2,0.9361,0.7361,4.7746,339,0,0,0,0.5,6.198,8.8592,0.6996,right,0.1025,geometric_bypass,4.6097,3,0.000141,528,102,0,0,0,0.0,0.0
203,2,0.8652,0.6652,4.2394,301,0,0,0,0.5,6.4217,8.8592,0.7249,right,0.107,astar_grid,9.8758,50,0.013844,532,98,0,0,0,0.0,0.0
203,2,0.8055,0.6055,4.8451,344,0,0,0,0.5,6.3844,8.8592,0.7207,right,0.1027,rrt,2.7181,3,0.000839,513,117,0,0,0,0.0,0.0
203,2,0.7478,0.5478,4.4225,314,0,0,0,0.5,6.1575,8.8592,0.695,right,0.0871,rrt_star,1734.0881,8,0.000109,477,153,0,0,0,0.0,0.0
203,2,0.9361,0.7361,4.7746,339,0,0,0,0.5,6.1968,8.8592,0.6995,right,0.0851,mppi,50.3034,60,8e-05,528,102,0,0,0,0.0,0.0
204,2,0.9395,0.7395,6.507,462,1,0,0,0.5,6.5395,8.9718,0.7289,right,0.1329,human,0.0,638,0.321934,591,47,0,0,0,0.0,0.0
204,2,0.9401,0.7401,4.1268,293,0,0,0,0.5,6.4136,8.9718,0.7149,left,0.0926,straight_line,2.2929,2,0.0,571,67,0,0,0,0.0,0.0
204,2,0.9401,0.7401,4.1268,293,0,0,0,0.5,6.4136,8.9718,0.7149,left,0.0964,geometric_bypass_not_needed,2.2607,2,0.0,571,67,0,0,0,0.0,0.0
204,2,1.0,0.8,4.3239,307,0,0,0,0.5,6.6861,8.9718,0.7452,left,0.0858,astar_grid,7.9156,65,0.004504,638,0,0,0,0,0.0,0.0
204,2,0.9401,0.7401,4.1268,293,0,0,0,0.5,6.4136,8.9718,0.7149,left,0.0846,rrt,2.2795,2,0.0,571,67,0,0,0,0.0,0.0
204,2,0.9401,0.7401,4.1268,293,0,0,0,0.5,6.4136,8.9718,0.7149,left,0.084,rrt_star,2.2458,2,0.0,571,67,0,0,0,0.0,0.0
204,2,0.9401,0.7401,4.1268,293,0,0,0,0.5,6.4136,8.9718,0.7149,left,0.0844,mppi,50.6316,60,0.0,571,67,0,0,0,0.0,0.0
205,2,0.6981,0.4981,7.3944,525,1,0,1,0.5,6.7335,10.0141,0.6724,right,0.1476,human,0.0,712,0.263158,622,83,7,0,78,0.0098,0.1096
205,2,0.9998,0.7998,5.5211,392,1,0,0,0.5,6.5752,10.0141,0.6566,right,0.0992,straight_line,2.4569,2,0.0,708,4,0,0,0,0.0,0.0
205,2,0.9998,0.7998,5.5211,392,1,0,0,0.5,6.5752,10.0141,0.6566,right,0.0926,geometric_bypass_not_needed,2.5041,2,0.0,708,4,0,0,0,0.0,0.0
205,2,0.7403,0.5403,5.8732,417,1,0,0,0.5,6.8703,10.0141,0.6861,right,0.0895,astar_grid,9.3812,66,0.002894,583,129,0,0,0,0.0,0.0
205,2,0.9998,0.7998,5.5211,392,1,0,0,0.5,6.5752,10.0141,0.6566,right,0.0923,rrt,2.4933,2,0.0,708,4,0,0,0,0.0,0.0
205,2,0.9998,0.7998,5.5211,392,1,0,0,0.5,6.5752,10.0141,0.6566,right,0.098,rrt_star,2.4878,2,0.0,708,4,0,0,0,0.0,0.0
205,2,0.9998,0.7998,5.5211,392,1,0,0,0.5,6.5752,10.0141,0.6566,right,0.091,mppi,51.1542,60,0.0,708,4,0,0,0,0.0,0.0
206,2,0.0195,-0.1805,7.1127,505,0,1,1,0.5,6.7376,10.9859,0.6133,straight/near-center,0.1481,human,0.0,781,0.604903,621,49,79,32,182,0.1421,0.233
206,2,0.1924,-0.0076,5.2254,371,0,1,1,0.5,6.5855,10.9859,0.5994,straight/near-center,0.1128,straight_line,2.7001,2,0.0,548,74,146,13,230,0.2036,0.2945
206,2,0.9234,0.7234,4.8732,346,0,0,0,0.5,6.7578,10.9859,0.6151,left,0.1059,geometric_bypass,5.7006,3,0.000221,644,137,0,0,0,0.0,0.0
206,2,0.7124,0.5124,4.7746,339,0,0,0,0.5,7.0871,10.9859,0.6451,left,0.1013,astar_grid,10.7296,67,0.011835,631,150,0,0,0,0.0,0.0
206,2,0.7342,0.5342,5.493,390,0,0,0,0.5,6.7544,10.9859,0.6148,left,0.0982,rrt,3.7533,3,0.000278,624,157,0,0,0,0.0,0.0
206,2,0.7096,0.5096,5.2113,370,0,0,0,0.5,6.6788,10.9859,0.6079,left,0.097,rrt_star,1808.4684,9,4.9e-05,600,181,0,0,0,0.0,0.0
206,2,0.9234,0.7234,4.8732,346,0,0,0,0.5,6.7565,10.9859,0.615,left,0.1033,mppi,52.2795,60,0.00013,644,137,0,0,0,0.0,0.0
207,2,0.0171,-0.1829,7.2535,515,0,1,1,0.5,7.0781,10.8592,0.6518,straight/near-center,0.1543,human,0.0,772,0.409884,621,47,74,30,175,0.1347,0.2267
207,2,0.2535,0.0535,5.0986,362,0,0,1,0.5,6.9708,10.8592,0.6419,left,0.1124,straight_line,2.7039,2,0.0,558,70,144,0,214,0.1865,0.2772
207,2,0.9292,0.7292,4.8169,342,0,0,0,0.5,7.1089,10.8592,0.6546,left,0.1113,geometric_bypass,5.6524,3,0.000119,652,120,0,0,0,0.0,0.0
207,2,0.7234,0.5234,4.8732,346,0,0,0,0.5,7.3054,10.8592,0.6727,left,0.0972,astar_grid,10.1287,70,0.0096,613,159,0,0,0,0.0,0.0
207,2,0.721,0.521,5.3944,383,0,0,0,0.5,7.2234,10.8592,0.6652,left,0.1024,rrt,3.302,3,0.000525,624,148,0,0,0,0.0,0.0
207,2,0.7039,0.5039,5.0,355,0,0,0,0.5,7.0439,10.8592,0.6487,left,0.1055,rrt_star,1742.4894,9,5.7e-05,602,170,0,0,0,0.0,0.0
207,2,0.9292,0.7292,4.8169,342,0,0,0,0.5,7.1075,10.8592,0.6545,left,0.1012,mppi,53.643,60,9.8e-05,652,120,0,0,0,0.0,0.0
208,2,0.3558,0.1558,6.7324,478,1,0,1,0.5,7.8494,12.1549,0.6458,right,0.1748,human,0.0,864,0.758109,732,47,85,0,155,0.0984,0.1794
208,2,0.4018,0.2018,5.3239,378,1,0,1,0.5,7.5713,12.1549,0.6229,right,0.1631,straight_line,2.9452,2,0.0,656,78,130,0,200,0.1505,0.2315
208,2,0.9373,0.7373,5.0986,362,1,0,0,0.5,7.6514,12.1549,0.6295,right,0.1123,geometric_bypass,6.2057,3,5e-05,755,109,0,0,0,0.0,0.0
208,2,0.7103,0.5103,5.0282,357,1,0,0,0.5,7.9253,12.1549,0.652,right,0.1103,astar_grid,10.0286,77,0.006246,716,148,0,0,0,0.0,0.0
208,2,0.7656,0.5656,5.4648,388,1,0,0,0.5,7.6248,12.1549,0.6273,right,0.1092,rrt,3.9764,3,4e-05,718,146,0,0,0,0.0,0.0
208,2,0.7341,0.5341,5.4366,386,1,0,0,0.5,7.6088,12.1549,0.626,right,0.115,rrt_star,1774.4937,8,5.1e-05,696,168,0,0,0,0.0,0.0
208,2,0.9373,0.7373,5.0986,362,1,0,0,0.5,7.6511,12.1549,0.6295,right,0.1089,mppi,51.9918,60,5.3e-05,755,109,0,0,0,0.0,0.0
209,2,0.1349,-0.0651,8.2676,587,1,1,1,0.5,8.1998,10.5915,0.7742,straight/near-center,0.1625,human,0.0,753,0.114691,628,40,67,18,156,0.1129,0.2072
209,2,0.5017,0.3017,6.6197,470,1,0,1,0.5,7.8683,10.5915,0.7429,right,0.1132,straight_line,2.6359,2,0.0,458,202,93,0,164,0.1235,0.2178
209,2,0.8526,0.6526,6.9718,495,1,0,0,0.5,8.4156,10.5915,0.7946,left,0.0948,geometric_bypass,5.5489,3,0.000669,608,145,0,0,0,0.0,0.0
209,2,0.7074,0.5074,6.2676,445,1,0,0,0.5,8.1747,10.5915,0.7718,right,0.0918,astar_grid,12.7037,63,0.010644,460,293,0,0,0,0.0,0.0
209,2,0.7956,0.5956,4.1972,298,0,0,0,0.5,8.094,10.5915,0.7642,left,0.0986,rrt,4.5509,4,0.001438,480,273,0,0,0,0.0,0.0
209,2,0.7007,0.5007,6.6338,471,1,0,0,0.5,7.8984,10.5915,0.7457,right,0.0913,rrt_star,1672.9311,12,0.000114,470,283,0,0,0,0.0,0.0
209,2,0.8526,0.6526,6.9718,495,1,0,0,0.5,8.4127,10.5915,0.7943,left,0.0942,mppi,50.8849,60,0.000417,608,145,0,0,0,0.0,0.0
210,2,0.0064,-0.1936,9.4648,672,1,1,1,0.5,8.3572,11.9859,0.6973,straight/near-center,0.1562,human,0.0,852,0.32873,730,37,61,24,155,0.0998,0.1819
